id,Категория
843,0
1422,0
2782,0
2704,0
1,0
68,3
2408,0
1587,3
1504,0
880,0
258,3
2125,0
2687,0
359,0
1741,0
1452,0
1537,0
2876,0
351,0
1393,3
2024,3
656,3
480,0
2760,0
2928,0
1780,3
2930,0
2476,0
1308,3
15,3
970,0
2141,0
1135,3
1612,16
1736,0
1035,3
565,0
512,0
872,0
875,3
1424,3
959,0
2603,0
1695,3
1862,0
2991,3
1118,3
341,0
2644,0
1293,0
1672,0
176,3
2864,3
2158,0
2412,3
283,0
444,0
2152,0
573,3
2935,0
2287,3
1396,3
2753,3
1489,3
644,3
1152,3
803,0
2105,3
30,0
2664,0
1912,0
2255,0
2909,3
631,3
2442,0
2065,0
299,0
2884,0
509,3
2510,0
2426,3
1961,0
599,0
2339,0
1722,0
204,3
2827,0
2819,0
2984,0
1819,0
2895,0
2474,0
2443,0
350,16
2281,0
2996,3
2749,0
882,8
595,8
2179,3
2367,3
1507,0
1314,3
2710,0
2964,0
901,0
1124,0
238,3
1106,0
2091,0
2422,0
124,0
898,0
598,0
789,3
197,0
2701,0
1232,0
2418,0
1207,0
1660,0
2767,0
49,0
2739,0
2090,0
2283,0
2444,0
858,3
1794,3
70,3
2532,0
394,16
686,3
1499,3
1733,3
1115,0
1033,3
619,0
271,0
810,8
109,0
859,0
2836,3
839,0
1433,3
58,3
158,0
1652,3
811,0
1114,0
757,3
2725,0
135,0
1884,0
1214,3
1072,3
999,0
2145,0
297,3
2068,0
2309,0
2907,0
2747,3
2959,3
352,16
279,8
980,0
2226,3
2088,0
2471,0
730,0
1174,8
1337,3
2777,3
545,3
2848,3
178,0
701,0
1018,0
458,3
1101,16
1950,3
1273,0
1568,0
325,0
2124,0
1290,0
1966,0
2420,3
1437,3
2361,0
1638,3
2191,3
2597,3
2582,0
1345,3
1279,0
1673,3
519,3
1193,0
2345,0
848,0
2595,3
2293,3
2719,16
1408,0
1584,0
2195,3
2156,3
1594,0
1744,0
692,3
200,3
2847,16
1221,3
1573,3
230,0
2452,0
219,0
1508,3
2084,0
180,0
2407,0
412,0
2229,0
1179,0
1913,3
531,3
2620,0
1579,0
2888,3
150,3
614,0
2335,3
1781,3
1129,0
2196,0
290,0
1916,0
1878,0
1816,0
787,0
2506,0
2333,0
423,3
2247,0
812,0
1940,3
550,16
1615,0
2009,0
913,3
2638,0
870,3
1992,0
1117,0
679,3
1236,3
2393,0
2637,0
355,0
1447,3
1363,3
2570,3
818,3
2324,3
1689,0
1335,8
928,0
52,3
163,3
742,0
451,3
436,0
600,3
2953,0
315,16
1289,3
2026,0
597,3
863,0
1322,0
1150,3
533,0
1076,0
671,3
2706,3
845,3
1026,3
1861,16
74,16
2207,3
2211,3
388,0
2096,0
1264,0
1230,0
2856,0
496,0
2717,3
1392,3
1287,0
1443,3
2308,0
747,3
441,3
2862,0
1753,0
1098,0
745,3
841,3
2640,3
2731,3
1081,0
2419,0
2689,0
1449,0
2378,0
2817,3
1841,0
1771,3
1892,0
1619,3
1399,0
33,3
2660,0
1400,0
1534,0
2746,16
457,0
2589,0
2942,3
2019,3
2164,0
1578,0
2014,0
2787,3
2045,3
945,0
2291,0
1056,0
943,3
1749,16
2139,0
791,3
2917,0
1922,0
437,0
184,0
655,3
1386,3
536,0
2989,3
583,0
1085,0
602,0
2556,0
1158,3
1526,3
1413,3
2113,0
658,0
2484,8
2148,0
931,3
1539,3
1777,3
562,0
323,0
1454,3
483,0
228,3
2628,3
45,3
319,16
1201,0
94,3
743,0
1091,0
1468,0
568,0
696,3
1847,3
1481,0
1000,3
2421,3
1271,0
2826,0
1498,3
2849,0
421,0
846,3
1730,3
1235,3
1274,16
813,8
1930,0
2250,0
612,3
2924,0
1840,3
1818,3
1984,0
1739,0
830,4
1968,16
1191,0
1160,3
1048,0
248,3
1506,3
2121,0
479,3
2881,0
2298,0
2759,3
408,0
652,0
2331,0
2713,0
1196,0
2097,16
2276,0
2630,0
1510,0
322,3
1821,0
1042,3
310,0
1065,3
2547,3
927,0
2852,0
2326,8
344,3
2703,3
314,0
2504,3
622,0
2652,3
1832,3
777,3
2030,3
2409,3
1451,3
1054,3
1784,0
424,3
1024,3
1948,3
2520,0
2635,0
1651,3
1745,3
2235,8
950,0
2679,3
1090,3
1763,0
1227,0
71,3
2187,0
1394,3
2115,16
434,3
1069,3
1094,3
