id,Категория
843,3
1422,3
2782,3
2704,3
1,8
68,3
2408,3
1587,3
1504,0
880,4
258,4
2125,3
2687,3
359,3
1741,3
1452,0
1537,8
2876,3
351,3
1393,0
2024,0
656,3
480,0
2760,3
2928,16
1780,3
2930,3
2476,10
1308,3
15,16
970,10
2141,0
1135,3
1612,8
1736,3
1035,0
565,4
512,3
872,3
875,16
1424,0
959,3
2603,1
1695,3
1862,3
2991,3
1118,4
341,0
2644,3
1293,3
1672,0
176,8
2864,3
2158,3
2412,0
283,3
444,3
2152,1
573,16
2935,0
2287,3
1396,3
2753,3
1489,1
644,3
1152,3
803,3
2105,3
30,8
2664,3
1912,0
2255,3
2909,3
631,0
2442,0
2065,3
299,3
2884,0
509,3
2510,3
2426,3
1961,3
599,3
2339,4
1722,3
204,3
2827,3
2819,3
2984,3
1819,16
2895,3
2474,10
2443,0
350,8
2281,3
2996,0
2749,0
882,3
595,3
2179,16
2367,3
1507,0
1314,3
2710,0
2964,3
901,3
1124,3
238,3
1106,3
2091,3
2422,0
124,0
898,0
598,16
789,0
197,8
2701,0
1232,3
2418,3
1207,3
1660,0
2767,0
49,8
2739,3
2090,16
2283,0
2444,0
858,3
1794,0
70,8
2532,10
394,3
686,4
1499,3
1733,0
1115,3
1033,3
619,0
271,4
810,3
109,8
859,4
2836,0
839,0
1433,0
58,0
158,3
1652,3
811,0
1114,0
757,8
2725,3
135,0
1884,0
1214,3
1072,3
999,0
2145,3
297,0
2068,3
2309,3
2907,3
2747,3
2959,10
352,3
279,8
980,3
2226,0
2088,3
2471,3
730,3
1174,3
1337,3
2777,3
545,3
2848,3
178,8
701,8
1018,3
458,3
1101,3
1950,3
1273,0
1568,3
325,0
2124,3
1290,3
1966,3
2420,3
1437,3
2361,3
1638,8
2191,3
2597,3
2582,16
1345,3
1279,0
1673,3
519,3
1193,3
2345,3
848,3
2595,3
2293,6
2719,3
1408,1
1584,8
2195,0
2156,16
1594,3
1744,8
692,8
200,1
2847,3
1221,4
1573,3
230,3
2452,0
219,0
1508,8
2084,16
180,0
2407,3
412,3
2229,3
1179,0
1913,16
531,3
2620,3
1579,3
2888,3
150,0
614,3
2335,3
1781,3
1129,0
2196,3
290,3
1916,3
1878,0
1816,3
787,3
2506,0
2333,0
423,3
2247,16
812,0
1940,0
550,0
1615,3
2009,3
913,10
2638,3
870,16
1992,0
1117,3
679,0
1236,3
2393,3
2637,0
355,3
1447,4
1363,0
2570,10
818,3
2324,0
1689,3
1335,3
928,3
52,3
163,0
742,3
451,3
436,0
600,0
2953,3
315,4
1289,3
2026,3
597,3
863,3
1322,0
1150,3
533,3
1076,3
671,3
2706,0
845,3
1026,3
1861,3
74,8
2207,0
2211,0
388,3
2096,3
1264,3
1230,3
2856,3
496,0
2717,3
1392,3
1287,0
1443,3
2308,0
747,8
441,3
2862,3
1753,3
1098,0
745,4
841,0
2640,3
2731,3
1081,0
2419,3
2689,3
1449,3
2378,3
2817,3
1841,3
1771,3
1892,0
1619,3
1399,0
33,3
2660,0
1400,0
1534,16
2746,3
457,10
2589,3
2942,3
2019,3
2164,3
1578,3
2014,1
2787,3
2045,3
945,3
2291,16
1056,3
943,3
1749,3
2139,0
791,3
2917,3
1922,0
437,3
184,8
655,8
1386,4
536,3
2989,3
583,8
1085,3
602,3
2556,3
1158,8
1526,4
1413,3
2113,3
658,3
2484,3
2148,3
931,3
1539,0
1777,3
562,3
323,3
1454,3
483,8
228,3
2628,3
45,3
319,16
1201,3
94,8
743,1
1091,4
1468,3
568,0
696,3
1847,3
1481,0
1000,8
2421,0
1271,3
2826,0
1498,3
2849,3
421,0
846,8
1730,3
1235,4
1274,3
813,3
1930,1
2250,3
612,3
2924,3
1840,7
1818,0
1984,3
1739,3
830,10
1968,3
1191,3
1160,3
1048,4
248,1
1506,0
2121,0
479,3
2881,3
2298,3
2759,3
408,8
652,0
2331,3
2713,3
1196,4
2097,3
2276,0
2630,3
1510,3
322,0
1821,3
1042,3
310,3
1065,8
2547,0
927,8
2852,3
2326,3
344,3
2703,3
314,3
2504,3
622,10
2652,0
1832,3
777,3
2030,3
2409,4
1451,3
1054,0
1784,3
424,0
1024,3
1948,3
2520,3
2635,3
1651,3
1745,3
2235,8
950,3
2679,3
1090,8
1763,3
1227,0
71,8
2187,16
1394,3
2115,3
434,0
1069,7
1094,16
50,0
728,8
1641,0
1318,4
213,3
2625,3
88,8
1006,3
2498,10
2391,3
1707,0
1557,0
544,4
2871,3
2931,3
643,3
2653,3
618,3
2896,3
1815,3
569,0
1554,0
1608,3
953,3
189,0
1208,3
1563,10
417,3
2795,3
1346,0
1757,3
611,3
1360,3
1678,3
2231,3
1197,3
2882,10
1843,0
2724,3
1212,3
1899,3
2992,3
289,1
1272,8
3000,0
1438,3
737,8
1229,3
112,8
1692,3
1107,4
1254,3
681,3
2094,3
121,3
232,4
2163,0
2584,3
2987,10
965,16
2744,3
1785,3
1718,0
2577,3
1831,3
677,0
556,0
298,3
2593,3
638,0
1217,3
2580,0
2958,3
1037,3
1111,3
804,8
366,3
2516,3
2643,8
89,8
1178,3
1310,0
1134,3
465,16
680,0
1625,0
264,3
2548,16
333,3
508,3
348,0
13,3
808,3
1609,8
868,10
1928,3
1231,0
2968,3
2021,3
1299,3
284,0
2483,10
222,7
2128,3
890,3
463,0
1614,3
1100,3
1698,3
2100,3
277,3
262,0
795,3
558,3
2175,0
719,8
2788,3
425,3
946,16
332,3
534,4
1711,3
1175,8
706,1
1104,3
1476,3
2709,3
720,16
2553,3
1955,4
1126,1
2317,3
1621,3
2032,0
1994,0
1588,3
2565,10
1629,3
77,0
2468,0
2745,3
1728,3
101,8
1624,3
2237,3
1737,3
411,3
2359,3
1967,3
1019,8
802,3
142,8
1412,1
2269,16
1270,0
367,3
1256,3
2070,3
2415,0
1303,3
2859,3
1779,0
369,3
1877,0
2588,3
806,3
1905,0
2154,3
209,3
2469,0
1030,3
1242,4
2910,0
2395,0
1848,3
2973,3
1317,3
2564,3
2093,3
2098,3
1671,0
1222,4
1764,0
1776,16
2568,0
2526,4
2542,10
523,3
2133,16
368,0
2244,0
2257,0
2478,3
2536,0
464,3
1492,0
2273,3
2923,3
1300,3
1583,0
1585,3
1548,0
1814,4
1993,8
621,0
2726,0
799,8
2604,3
2874,3
539,3
382,3
171,0
756,3
105,8
1058,3
145,0
462,0
2439,3
153,3
510,1
507,3
2220,0
440,8
2348,4
110,8
784,0
2678,16
760,3
2292,0
241,0
1361,3
613,3
2067,7
1581,3
1607,3
407,3
765,16
2285,16
472,0
46,0
1237,3
1642,0
543,0
2594,3
1162,3
1436,0
979,3
1245,0
2384,0
1886,0
2794,3
1869,3
645,3
316,3
548,3
1205,0
64,4
1805,0
2539,3
2482,10
860,3
938,3
31,3
2459,3
2180,0
1092,0
766,3
651,3
1710,16
403,3
1475,0
2743,3
1746,8
1411,0
2695,3
2632,3
1965,10
1552,8
2025,0
648,3
2902,3
461,3
2320,0
2184,3
2918,3
1458,3
247,1
1265,3
439,3
1799,3
1463,3
1324,3
627,3
252,3
1049,3
1601,0
2214,3
174,3
522,0
865,3
1011,3
1362,3
103,3
2343,3
2041,3
2377,3
57,4
977,3
1074,3
487,3
790,8
1910,3
603,3
2969,3
1964,10
2168,3
409,0
2842,3
260,3
234,3
1414,0
1883,3
788,8
773,10
1666,3
2165,3
1339,3
196,3
2898,3
1038,3
1079,3
239,3
2137,3
991,0
140,4
1012,4
1558,0
53,3
481,3
966,8
2688,0
832,3
8,3
768,0
255,0
1352,0
650,8
1466,3
2177,3
566,16
1323,4
820,0
2114,0
175,0
1802,0
185,3
415,3
2602,3
446,3
227,3
963,3
2997,3
2894,3
125,0
1269,3
499,0
164,3
1809,3
195,0
1544,3
857,3
2502,0
169,0
2720,16
912,3
2473,3
2002,3
930,0
2316,0
1761,3
1731,3
1375,3
2401,3
416,3
2209,3
431,3
2360,3
1495,0
1089,3
2079,0
1740,3
2371,3
606,4
240,0
1371,3
1488,3
2772,3
486,3
2112,3
1223,4
97,3
708,3
433,0
2738,3
2651,3
1211,4
2707,3
362,3
1789,7
1570,0
280,16
678,3
2668,3
555,0
273,3
2646,3
1331,3
2840,4
2234,3
1095,3
2405,3
1002,0
354,0
2645,16
1344,3
2721,3
2031,0
663,3
2013,0
2416,3
193,7
1136,0
2454,3
267,3
782,3
2354,3
2835,4
136,0
835,3
1503,0
2304,0
1766,3
1378,4
1125,3
2756,0
2528,3
473,3
1742,3
941,3
2210,3
1873,3
211,3
1560,3
212,3
2373,3
2863,3
786,3
2167,0
220,0
292,4
26,8
1747,8
2131,0
2839,3
715,0
1941,0
529,0
2543,0
257,0
2986,3
904,3
908,3
694,0
1833,3
2868,3
2275,3
1602,3
1028,16
1726,3
2176,0
2780,3
2669,3
60,3
81,0
2891,3
2812,3
179,8
528,8
167,0
1398,3
2529,3
1365,0
2762,0
749,3
1513,3
2995,0
2365,10
840,3
2376,0
1921,3
1262,3
762,8
2966,0
2351,3
2690,3
1519,8
582,8
1567,0
2682,0
633,0
1801,3
574,3
1942,3
2334,3
1045,3
1836,3
2850,10
2530,3
2944,3
1767,3
1103,4
554,0
2288,3
933,0
1430,3
2046,3
44,0
253,8
2619,16
2518,3
2524,0
1577,4
2567,10
